,PPG_Raw,PPG_Clean,PPG_Rate,PPG_Peaks,EDA_Raw,EDA_Clean,EDA_Phasic,EDA_Tonic,SCR_Onsets,SCR_Peaks,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,Index,Condition
16,-15.33032,0.0,75.49060542797496,0,0.1703459579601593,0.1703147151686854,0.0024970289115861135,0.16781768626065469,0,0,0,0,0,16,neutral
17,-16.54333,0.0,75.49060542797496,0,0.17057679320351937,0.17055712593293113,0.002735442995692459,0.16782168294078995,0,0,0,0,0,17,neutral
18,-18.20148,0.0,75.49060542797496,0,0.1708027104251429,0.17079540577993677,0.0029697217193648557,0.16782568406411894,0,0,0,0,0,18,neutral
19,-20.06015,0.0,75.49060542797496,0,0.17102050306229943,0.1710257668309832,0.0031960772468172857,0.16782968958770855,0,0,0,0,0,19,neutral
20,-21.80576,0.0,75.49060542797496,0,0.17122696453869715,0.17124432566319997,0.003410626196390478,0.16783369947034765,0,0,0,0,0,20,neutral
21,-23.14944,0.0,75.49060542797496,0,0.17141888827804433,0.1714471291544105,0.0036094154852666987,0.16783771367267733,0,0,0,0,0,21,neutral
22,-23.83826,0.0,75.49060542797496,0,0.17159306770404914,0.17163018513020603,0.0037884529764205263,0.1678417321573143,0,0,0,0,0,22,neutral
23,-23.61203,0.0,75.49060542797496,0,0.17174629624041982,0.17178950369467616,0.003943748809234878,0.1678457548889652,0,0,0,0,0,23,neutral
24,-22.18561,0.0,75.49060542797496,0,0.17187536731086456,0.17192115415831596,0.004071372327305455,0.1678497818345294,0,0,0,0,0,24,neutral
25,-19.39157,0.0,75.49060542797496,0,0.17197707433909157,0.17202134090203902,0.004167527942364708,0.16785381296318802,0,0,0,0,0,25,neutral
26,-15.27008,0.0,75.49060542797496,0,0.17204821074880905,0.1720864994546792,0.004228651211710598,0.16785784824647693,0,0,0,0,0,26,neutral
27,-10.17163,0.0,75.49060542797496,0,0.17208556996372526,0.17211341167610597,0.004251524021267219,0.16786188765834154,0,1,-2147483648,-2147483648,0,27,neutral
28,-4.65979,0.0,75.49060542797496,0,0.17208594540754835,0.17209933643122496,0.004233405259550692,0.16786593117517132,0,0,0,0,0,28,neutral
29,0.6681213,0.0,75.49060542797496,0,0.17204613050398665,0.17204214974340848,0.004172170971087227,0.16786997877581242,0,0,0,0,0,29,neutral
30,5.37674,0.0,75.49060542797496,0,0.17196291867674823,0.171940486375674,0.004066455937602737,0.16787403044155644,0,0,0,0,0,30,neutral
31,9.274628,0.0,75.49060542797496,0,0.17183310334954136,0.1717938733435528,0.003915787190927392,0.16787808615610442,0,0,0,0,0,31,neutral
32,12.34128,0.0,75.49060542797496,0,0.17165347794607422,0.17160284521826458,0.0037206993162317904,0.16788214590550543,0,0,0,0,0,32,neutral
33,14.767,0.0,75.49060542797496,0,0.17142220425857901,0.17136903136279663,0.0034828216881935253,0.16788620967806928,0,0,0,0,0,33,neutral
34,16.70102,1.1436069379669807,75.49060542797496,0,0.17114445486432525,0.17109520647329451,0.0032049290125004456,0.16789027746425356,0,0,0,0,0,34,neutral
35,18.17557,2.692464049609245,75.49060542797496,0,0.17082764156807478,0.17078529784675592,0.002890948593682067,0.1678943492565265,0,0,0,0,0,35,neutral
36,19.17926,3.758820647049671,75.49060542797496,0,0.1704791771573154,0.17044434540215483,0.0025459203563937345,0.1678984250492067,0,0,0,0,0,36,neutral
37,19.7045,4.384412414259736,75.49060542797496,0,0.17010647441953491,0.17007841331603532,0.0021759084811914017,0.16790250483828234,0,0,0,0,0,37,neutral
38,19.85693,4.683550345379265,75.49060542797496,0,0.16971694614222102,0.16969445489319937,0.0017878662754179666,0.1679065886212125,0,0,0,0,0,38,neutral
39,19.87241,4.904807924323477,75.49060542797496,0,0.1693180051128616,0.16930013477530334,0.0013894583820125753,0.16791067639671445,0,0,0,0,0,39,neutral
40,20.08868,5.446863753104415,75.49060542797496,0,0.16891706411894442,0.16890361470501225,0.0009888465438878564,0.16791476816454046,0,0,0,0,0,40,neutral
41,20.86932,6.8027706072153915,75.49060542797496,0,0.1685215359479572,0.1685133108034515,0.0005944468816109177,0.1679188639252489,0,0,0,0,0,41,neutral
42,22.83432,9.432697267238533,75.49060542797496,0,0.1681388333873878,0.16813763171422358,0.000214668037649802,0.16792296367997414,0,0,0,0,0,42,neutral
43,26.43597,13.599378068067622,75.49060542797496,0,0.16777636922472394,0.16778470804597692,-0.0001423593808306927,0.16792706743019986,0,0,0,0,0,43,neutral
44,31.72252,19.228648541546537,75.49060542797496,0,0.16744155624745347,0.1674621243045853,-0.0004690508695716979,0.16793117517754105,0,0,0,0,0,44,neutral
45,38.19611,25.859353383560077,75.49060542797496,0,0.16714180724306413,0.16717666489785335,-0.0007586220223096736,0.1679352869235388,0,0,0,0,0,45,neutral
46,44.89536,32.71394611777267,75.49060542797496,0,0.16688453499904365,0.1669340857289689,-0.0010053169371362506,0.1679394026694725,0,0,0,0,0,46,neutral
47,50.6777,38.86779238393336,75.49060542797496,0,0.16667715230287994,0.16673892225108436,-0.0012046001617504062,0.16794352241619354,0,0,0,0,0,47,neutral
48,54.59647,43.45169241379466,75.49060542797496,0,0.16652707194206068,0.16659434352052266,-0.0013533026401106527,0.16794764616398328,0,0,0,0,0,48,neutral
49,56.08763,45.81410169866845,75.49060542797496,0,0.16644020438146345,0.16650205969707763,-0.001449714212019808,0.16795177391243843,0,0,0,0,0,49,neutral
50,54.9164,45.600858635658746,75.49060542797496,0,0.16641373319419034,0.16646228763914692,-0.001493618017906227,0.16795590566038504,1,0,0,0,0,50,neutral
51,51.40027,42.76055880301413,75.49060542797496,0,0.1664416988265114,0.1664737759205084,-0.0014862654819915687,0.1679600414058226,0,0,0,0,0,51,neutral
52,45.79616,37.52063854849769,75.49060542797496,0,0.16651813754686642,0.16653388709097247,-0.0014302940516125503,0.16796418114589823,0,0,0,0,0,52,neutral
53,38.35066,30.377722642242492,75.49060542797496,0,0.16663708562369497,0.1666387317207879,-0.001329593152818724,0.16796832487691019,0,0,0,0,0,53,neutral
54,29.51114,22.107457352559745,75.49060542797496,0,0.16679257932543676,0.1667833460656595,-0.0011891265253859843,0.16797247259433923,0,0,0,0,0,54,neutral
55,20.19087,13.756128157215027,75.49060542797496,0,0.1669786549205314,0.16696190328261243,-0.0010147210070095105,0.16797662429290566,0,0,0,0,0,55,neutral
56,11.79037,6.567704502455578,75.49060542797496,0,0.16718934867741858,0.16716794707241733,-0.000812832890958349,0.16798077996664923,0,0,0,0,0,56,neutral
57,5.990097,1.8365473542808517,75.49060542797496,0,0.16741869686453795,0.16739463635137627,-0.0005903032543890189,0.16798493960902844,0,0,0,0,0,57,neutral
58,4.252502,0.729393457762686,75.49060542797496,0,0.16766073575032917,0.1676349899217788,-0.0003541132880045065,0.1679891032130359,0,0,0,0,0,58,neutral
59,7.303467,4.14479995796982,75.49060542797496,0,0.1679095016032319,0.16788212095210747,-0.0001111498159760806,0.1679932707713254,0,0,0,0,0,59,neutral
60,15.65042,12.64903767779994,75.49060542797496,0,0.1681590306916858,0.1681294522460582,0.00013200997294194737,0.16799744227634716,0,0,0,0,0,60,neutral
61,29.02596,26.46125713344977,75.49060542797496,0,0.16840335928413055,0.16837090466279925,0.0003692869455321653,0.16800161772048694,0,0,0,0,0,61,neutral
62,46.87325,45.404302101549035,75.49060542797496,0,0.16863652364900578,0.16860105258596192,0.0005952554929651346,0.16800579709620542,0,0,0,0,0,62,neutral
63,68.34012,68.73836326123423,75.49060542797496,0,0.16885256005475116,0.16881524200462314,0.0008052616116459024,0.16800998039617443,0,0,0,0,0,63,neutral
